City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port moresby,-9.4431,147.1797,24.68,94,20,1.54,PG,1715270771
1,port lincoln,-34.7333,135.8667,14.2,79,0,4.53,AU,1715270797
2,port-aux-francais,-49.35,70.2167,5.25,82,52,10.84,TF,1715270797
3,happy valley-goose bay,53.3168,-60.3315,4.17,65,100,5.14,CA,1715270797
4,hithadhoo,-0.6,73.0833,29.47,77,100,4.8,MV,1715270797
5,mariinsk,56.2139,87.7472,9.03,56,96,2.84,RU,1715270797
6,port elizabeth,-33.918,25.5701,19.16,88,20,6.69,ZA,1715270797
7,zheleznodorozhnyy,55.7503,38.0042,6.29,41,92,6.26,RU,1715270798
8,college,64.8569,-147.8028,6.76,71,75,1.54,US,1715270798
9,blackmans bay,-43.0167,147.3167,12.07,96,100,0.37,AU,1715270798
10,hermanus,-34.4187,19.2345,14.89,75,0,4.87,ZA,1715270542
11,carnarvon,-24.8667,113.6333,23.51,69,100,1.79,AU,1715270798
12,kapa'a,22.0752,-159.319,20.61,90,75,3.6,US,1715270537
13,manokwari,-0.8667,134.0833,26.06,85,95,1.99,ID,1715270799
14,la sarre,48.8002,-79.1996,12.74,41,25,4.8,CA,1715270799
15,puerto natales,-51.7236,-72.4875,0.25,100,75,1.03,CL,1715270562
16,saint-philippe,-21.3585,55.7679,24.77,82,75,7.52,RE,1715270799
17,stanley,54.868,-1.6985,20.29,59,20,4.63,GB,1715270639
18,arraial do cabo,-22.9661,-42.0278,32.98,58,0,4.63,BR,1715270755
19,aasiaat,68.7098,-52.8699,-6.03,81,58,3.04,GL,1715270800
20,georgetown,5.4112,100.3354,30.96,77,40,3.09,MY,1715270754
21,tiksi,71.6872,128.8694,-2.83,89,100,1.33,RU,1715270800
22,waitangi,-43.9535,-176.5597,9.9,94,98,3.13,NZ,1715270800
23,kaiyuan,23.6977,103.3037,19.4,87,90,1.5,CN,1715270800
24,ahmadpur east,29.1431,71.2598,39.58,10,76,3.93,PK,1715270623
25,adamstown,-25.066,-130.1015,21.23,78,54,1.56,PN,1715270800
26,yazman,29.1212,71.7446,39.86,10,64,4.66,PK,1715270801
27,invercargill,-46.4,168.35,9.45,93,100,4.47,NZ,1715270801
28,san fernando de apure,7.8878,-67.4724,28.07,80,100,2.74,VE,1715270801
29,maine soroa,13.2114,12.0241,42.65,8,47,2.84,NE,1715270801
30,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.98,PT,1715270801
31,puerto ayora,-0.7393,-90.3518,26.98,93,96,0.45,EC,1715270801
32,hamilton,39.1834,-84.5333,21.7,83,100,2.57,US,1715270443
33,port said,31.2565,32.2841,22.08,76,27,6.76,EG,1715270802
34,isafjordur,66.0755,-23.124,8.02,46,75,5.14,IS,1715270802
35,wau,7.7029,27.9953,35.74,12,13,1.88,SS,1715270802
36,albany,42.6001,-73.9662,15.3,64,100,0.45,US,1715270464
37,uliastay,47.7417,96.8444,6.85,51,12,2.14,MN,1715270802
38,iqaluit,63.7506,-68.5145,-1.15,68,75,1.54,CA,1715270739
39,whitehorse,60.7161,-135.0538,5.05,58,100,6.17,CA,1715270658
40,bethel,41.3712,-73.414,19.22,58,0,6.17,US,1715270803
41,ust-nera,64.5667,143.2,1.21,88,100,2.54,RU,1715270803
42,leeton,-34.5667,146.4,15.61,86,100,4.43,AU,1715270803
43,yoko,5.5333,12.3167,30.19,44,63,2.22,CM,1715270803
